megye,ev,szam
Bistrita-Nasaud,2012,271
Botosani,2012,502
Braila,2012,705
Brasov,2012,945
Buzau,2012,490
Calarasi,2012,503
Caras-Severin,2012,577
Cluj,2012,1017
Constanta,2012,1181
Covasna,2012,315
Dambovita,2012,669
Dolj,2012,482
Galati,2012,1105
Giurgiu,2012,297
Gorj,2012,606
Harghita,2012,371
Hunedoara,2012,999
Ialomita,2012,411
Iasi,2012,891
Ilfov,2012,293
Maramures,2012,785
Mehedinti,2012,431
Municipiul Bucuresti,2012,3421
Mures,2012,760
Neamt,2012,931
Olt,2012,490
Prahova,2012,1080
Salaj,2012,363
Satu Mare,2012,566
Sibiu,2012,782
Suceava,2012,1272
Teleorman,2012,464
Timis,2012,797
Tulcea,2012,362
Valcea,2012,526
Vaslui,2012,744
Vrancea,2012,441
Alba,2013,510
Arad,2013,724
Arges,2013,957
Bacau,2013,1072
Bihor,2013,797
Bistrita-Nasaud,2013,280
Botosani,2013,487
Braila,2013,708
Brasov,2013,1075
Buzau,2013,556
Calarasi,2013,419
Caras-Severin,2013,579
Cluj,2013,701
Constanta,2013,1271
Covasna,2013,203
Dambovita,2013,640
Dolj,2013,428
Galati,2013,889
Giurgiu,2013,264
Gorj,2013,625
Harghita,2013,349
Hunedoara,2013,854
Ialomita,2013,363
Iasi,2013,1094
Ilfov,2013,366
Maramures,2013,691
Mehedinti,2013,288
Municipiul Bucuresti,2013,2876
Mures,2013,576
Neamt,2013,877
Olt,2013,435
Prahova,2013,1088
Salaj,2013,303
Satu Mare,2013,515
Sibiu,2013,533
Suceava,2013,971
Teleorman,2013,496
Timis,2013,852
Tulcea,2013,310
Valcea,2013,458
Vaslui,2013,653
Vrancea,2013,374
Alba,2014,512
Arad,2014,532
Arges,2014,904
Bacau,2014,1001
Bihor,2014,743
Bistrita-Nasaud,2014,199
Botosani,2014,747
Braila,2014,703
Brasov,2014,1124
Buzau,2014,526
Calarasi,2014,414
Caras-Severin,2014,553
Cluj,2014,696
Constanta,2014,1282
Covasna,2014,164
Dambovita,2014,548
Dolj,2014,444
Galati,2014,748
Giurgiu,2014,148
Gorj,2014,573
Harghita,2014,286
Hunedoara,2014,735
Ialomita,2014,269
Iasi,2014,1046
Ilfov,2014,476
Maramures,2014,699
Mehedinti,2014,247
Municipiul Bucuresti,2014,2759
Mures,2014,623
Neamt,2014,794
Olt,2014,426
Prahova,2014,1085
Salaj,2014,274
Satu Mare,2014,496
Sibiu,2014,564
Suceava,2014,960
Teleorman,2014,447
Timis,2014,812
Tulcea,2014,205
Valcea,2014,398
Vaslui,2014,667
Vrancea,2014,359
Alba,2015,625
Arad,2015,545
Arges,2015,989
Bacau,2015,968
Bihor,2015,1005
Bistrita-Nasaud,2015,270
Botosani,2015,923
Braila,2015,726
Brasov,2015,1083
Buzau,2015,628
Calarasi,2015,487
Caras-Severin,2015,604
Cluj,2015,708
Constanta,2015,1331
Covasna,2015,293
Dambovita,2015,842
Dolj,2015,526
Galati,2015,1145
Giurgiu,2015,226
Gorj,2015,584
Harghita,2015,341
Hunedoara,2015,803
Ialomita,2015,344
Iasi,2015,1106
Ilfov,2015,563
Maramures,2015,799
Mehedinti,2015,326
Municipiul Bucuresti,2015,3421
Mures,2015,685
Neamt,2015,757
Olt,2015,493
Prahova,2015,1153
Salaj,2015,358
Satu Mare,2015,680
Sibiu,2015,687
Suceava,2015,1084
Teleorman,2015,528
Timis,2015,1090
Tulcea,2015,188
Valcea,2015,378
Vaslui,2015,764
Vrancea,2015,471
Alba,2016,607
Arad,2016,497
Arges,2016,863
Bacau,2016,979
Bihor,2016,1028
Bistrita-Nasaud,2016,269
Botosani,2016,629
Braila,2016,680
Brasov,2016,1024
Buzau,2016,656
Calarasi,2016,419
Caras-Severin,2016,598
Cluj,2016,768
Constanta,2016,1398
Covasna,2016,311
Dambovita,2016,759
Dolj,2016,587
Galati,2016,926
Giurgiu,2016,316
Gorj,2016,615
Harghita,2016,333
Hunedoara,2016,750
Ialomita,2016,413
Iasi,2016,1074
Ilfov,2016,748
Maramures,2016,813
Mehedinti,2016,320
Municipiul Bucuresti,2016,3075
Mures,2016,707
Neamt,2016,784
Olt,2016,476
Prahova,2016,1187
Salaj,2016,309
Satu Mare,2016,581
Sibiu,2016,727
Suceava,2016,1028
Teleorman,2016,559
Timis,2016,1187
Tulcea,2016,116
Valcea,2016,264
Vaslui,2016,598
Vrancea,2016,519
Alba,2017,599
Arad,2017,699
Arges,2017,1193
Bacau,2017,1078
Bihor,2017,1004
Bistrita-Nasaud,2017,378
Botosani,2017,857
Braila,2017,654
Brasov,2017,1088
Buzau,2017,601
Calarasi,2017,424
Caras-Severin,2017,544
Cluj,2017,850
Constanta,2017,1222
Covasna,2017,233
Dambovita,2017,720
Dolj,2017,571
Galati,2017,964
Giurgiu,2017,355
Gorj,2017,689
Harghita,2017,356
Hunedoara,2017,797
Ialomita,2017,325
Iasi,2017,1103
Ilfov,2017,782
Maramures,2017,768
Mehedinti,2017,250
Municipiul Bucuresti,2017,2740
Mures,2017,681
Neamt,2017,925
Olt,2017,514
Prahova,2017,1210
Salaj,2017,321
Satu Mare,2017,576
Sibiu,2017,804
Suceava,2017,1029
Teleorman,2017,614
Timis,2017,1127
Tulcea,2017,236
Valcea,2017,208
Vaslui,2017,603
Vrancea,2017,455
Alba,2018,609
Arad,2018,681
Arges,2018,1091
Bacau,2018,1145
Bihor,2018,925
Bistrita-Nasaud,2018,390
Botosani,2018,662
Braila,2018,661
Brasov,2018,1128
Buzau,2018,515
Calarasi,2018,418
Caras-Severin,2018,507
Cluj,2018,778
Constanta,2018,1178
Covasna,2018,269
Dambovita,2018,864
Dolj,2018,616
Galati,2018,755
Giurgiu,2018,251
Gorj,2018,674
Harghita,2018,334
Hunedoara,2018,830
Ialomita,2018,438
Iasi,2018,1293
Ilfov,2018,858
Maramures,2018,756
Mehedinti,2018,345
Municipiul Bucuresti,2018,2888
Mures,2018,711
Neamt,2018,901
Olt,2018,565
Prahova,2018,1271
Salaj,2018,363
Satu Mare,2018,554
Sibiu,2018,708
Suceava,2018,957
Teleorman,2018,531
Timis,2018,947
Tulcea,2018,271
Valcea,2018,215
Vaslui,2018,657
Vrancea,2018,347
Alba,2019,603
Arad,2019,489
Arges,2019,1179
Bacau,2019,1037
Bihor,2019,993
Bistrita-Nasaud,2019,311
Botosani,2019,666
Braila,2019,619
Brasov,2019,1104
Buzau,2019,547
Calarasi,2019,409
Caras-Severin,2019,468
Cluj,2019,932
Constanta,2019,1300
Covasna,2019,259
Dambovita,2019,877
Dolj,2019,605
Galati,2019,517
Giurgiu,2019,310
Gorj,2019,680
Harghita,2019,366
Hunedoara,2019,824
Ialomita,2019,371
Iasi,2019,1109
Ilfov,2019,782
Maramures,2019,723
Mehedinti,2019,435
Municipiul Bucuresti,2019,2641
Mures,2019,753
