megye,ev,szam
Ialomita,2008,1763
Ialomita,2009,1633
Ialomita,2010,1299
Ialomita,2011,1120
Ialomita,2012,1156
Ialomita,2013,1129
Ialomita,2014,1185
Ialomita,2015,1392
Ialomita,2016,1428
Ialomita,2017,1559
Ialomita,2018,1553
Ialomita,2019,1613
Ialomita,2020,1074
Ialomita,2021,1335
Ialomita,2022,1370
Ialomita,3004,1459
Iasi,1990,6927
Iasi,1991,6811
Iasi,1992,6706
Iasi,1993,6409
Iasi,1994,6225
Iasi,1995,5886
Iasi,1996,5923
Iasi,1997,5694
Iasi,1998,5647
Iasi,1999,5611
Iasi,2000,5550
Iasi,2001,5247
Iasi,2002,5403
Iasi,2003,5481
Iasi,2005,5459
Iasi,2006,5671
Iasi,2007,7382
Iasi,2008,5906
Iasi,2009,5358
Iasi,2010,4590
Iasi,2011,4291
Iasi,2012,4543
Iasi,2013,4587
Iasi,2014,5177
Iasi,2015,5511
Iasi,2016,5924
Iasi,2017,6325
Iasi,2018,6641
Iasi,2019,6691
Iasi,2020,4029
Iasi,2021,5831
Iasi,2022,5906
Iasi,3004,5780
Ilfov,1990,2352
Ilfov,1991,2182
Ilfov,1992,1807
Ilfov,1993,1786
Ilfov,1994,1840
Ilfov,1995,1730
Ilfov,1996,1776
Ilfov,1997,1653
Ilfov,1998,1710
Ilfov,1999,1761
Ilfov,2000,1664
Ilfov,2001,1615
Ilfov,2002,1671
Ilfov,2003,1829
Ilfov,2005,1955
Ilfov,2006,2070
Ilfov,2007,2715
Ilfov,2008,2553
Ilfov,2009,2197
Ilfov,2010,1865
Ilfov,2011,1853
Ilfov,2012,2073
Ilfov,2013,2130
Ilfov,2014,2388
Ilfov,2015,2660
Ilfov,2016,3075
Ilfov,2017,3348
Ilfov,2018,3326
Ilfov,2019,3271
Ilfov,2020,2424
Ilfov,2021,3262
Ilfov,2022,3656
Ilfov,3004,1862
Maramures,1990,4450
Maramures,1991,4363
Maramures,1992,4362
Maramures,1993,3817
Maramures,1994,3754
Maramures,1995,3861
Maramures,1996,3717
Maramures,1997,3798
Maramures,1998,3698
Maramures,1999,3681
Maramures,2000,3546
Maramures,2001,3200
Maramures,2002,3458
Maramures,2003,3606
Maramures,2005,3719
Maramures,2006,3677
Maramures,2007,4185
Maramures,2008,3553
Maramures,2009,3464
Maramures,2010,2996
Maramures,2011,2828
Maramures,2012,2916
Maramures,2013,2933
Maramures,2014,2982
Maramures,2015,3072
Maramures,2016,3238
Maramures,2017,3179
Maramures,2018,3220
Maramures,2019,2957
Maramures,2020,1831
Maramures,2021,2810
Maramures,2022,2539
Maramures,3004,3744
Mehedinti,1990,2586
Mehedinti,1991,2436
Mehedinti,1992,2389
Mehedinti,1993,2105
Mehedinti,1994,1937
Mehedinti,1995,1920
Mehedinti,1996,2005
Mehedinti,1997,1816
Mehedinti,1998,2015
Mehedinti,1999,1777
Mehedinti,2000,1762
Mehedinti,2001,1827
Mehedinti,2002,1843
Mehedinti,2003,1866
Mehedinti,2005,1871
Mehedinti,2006,2077
Mehedinti,2007,3185
Mehedinti,2008,1836
Mehedinti,2009,1796
Mehedinti,2010,1499
Mehedinti,2011,1382
Mehedinti,2012,1451
Mehedinti,2013,1438
Mehedinti,2014,1454
Mehedinti,2015,1554
Mehedinti,2016,1703
Mehedinti,2017,1749
Mehedinti,2018,1769
Mehedinti,2019,1731
Mehedinti,2020,979
Mehedinti,2021,1422
Mehedinti,2022,1519
Mehedinti,3004,1875
Municipiul Bucuresti,1990,18816
Municipiul Bucuresti,1991,16313
Municipiul Bucuresti,1992,14636
Municipiul Bucuresti,1993,13434
Municipiul Bucuresti,1994,13217
Municipiul Bucuresti,1995,13234
Municipiul Bucuresti,1996,13204
Municipiul Bucuresti,1997,13042
Municipiul Bucuresti,1998,13048
Municipiul Bucuresti,1999,13016
Municipiul Bucuresti,2000,13194
Municipiul Bucuresti,2001,12919
Municipiul Bucuresti,2002,12502
Municipiul Bucuresti,2003,13297
Municipiul Bucuresti,2005,18431
Municipiul Bucuresti,2006,18437
Municipiul Bucuresti,2007,17327
Municipiul Bucuresti,2008,20559
Municipiul Bucuresti,2009,16061
Municipiul Bucuresti,2010,13063
Municipiul Bucuresti,2011,11786
Municipiul Bucuresti,2012,11479
Municipiul Bucuresti,2013,11992
Municipiul Bucuresti,2014,15583
Municipiul Bucuresti,2015,16378
Municipiul Bucuresti,2016,17165
Municipiul Bucuresti,2017,24257
Municipiul Bucuresti,2018,24476
Municipiul Bucuresti,2019,14259
Municipiul Bucuresti,2020,9407
Municipiul Bucuresti,2021,11397
Municipiul Bucuresti,2022,12205
Municipiul Bucuresti,3004,15742
Mures,1990,4750
Mures,1991,4578
Mures,1992,4360
Mures,1993,3900
Mures,1994,3614
Mures,1995,3855
Mures,1996,3835
Mures,1997,3752
Mures,1998,3692
Mures,1999,3483
Mures,2000,3390
Mures,2001,3133
Mures,2002,2994
Mures,2003,3103
Mures,2005,3470
Mures,2006,3109
Mures,2007,5807
Mures,2008,3574
Mures,2009,3193
Mures,2010,2906
Mures,2011,2536
Mures,2012,2506
Mures,2013,2516
Mures,2014,2671
Mures,2015,2887
Mures,2016,3086
Mures,2017,3141
Mures,2018,3217
Mures,2019,3231
Mures,2020,2027
Mures,2021,2862
Mures,2022,3083
Mures,3004,3445
Neamt,1990,5098
Neamt,1991,5165
Neamt,1992,5006
Neamt,1993,4289
Neamt,1994,4424
Neamt,1995,4332
Neamt,1996,4251
Neamt,1997,4119
Neamt,1998,4178
Neamt,1999,4115
Neamt,2000,3864
Neamt,2001,3510
Neamt,2002,3652
Neamt,2003,3713
Neamt,2005,3728
Neamt,2006,3617
Neamt,2007,4657
Neamt,2008,3600
Neamt,2009,3379
Neamt,2010,2993
Neamt,2011,2677
Neamt,2012,2671
Neamt,2013,2602
Neamt,2014,2723
Neamt,2015,2856
Neamt,2016,3017
Neamt,2017,3101
Neamt,2018,3038
Neamt,2019,2886
Neamt,2020,1605
Neamt,2021,2952
Neamt,2022,2759
Neamt,3004,3712
